title,price,location,surface,rooms,baths,link,location_clean,city,district,price_capped,prix_m2,is_new,is_luxury,age_estime,type_bien,price_category,city_popularity,is_premium_city
Appartement 3 chambres 80 mètres ascenseur syndic 5 minutes Malabata,750000,"Appartements dans Tanger, Tanja Balia",80,3,1,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_3_chambres_80_m%C3%A8tres_ascenseur_syndic_5_minutes_Malabata_57838469.htm,"Tanger, Tanja Balia",tangier,tanja balia,750000,9375.0,False,False,15,appartement,very_high,38,False
Appartement à vendre 126 m² Tafraoute à Marrakech,2583000,"Appartements dans Marrakech, Hivernage",126,3,1,https://www.avito.ma/fr/hivernage/appartements/Appartement_%C3%A0_vendre_126_m%C2%B2_Tafraoute_%C3%A0_Marrakech_57551501.htm,"Marrakech, Hivernage",marrakech,hivernage,2583000,20500.0,False,False,15,appartement,luxury,58,True
Studio 47m Maarif Proche Twin Center,1080000,"Appartements dans Casablanca, Maarif",47,1,1,https://www.avito.ma/fr/maarif/appartements/Studio_47m_Maarif_Proche_Twin_Center_57508882.htm,"Casablanca, Maarif",casablanca,maarif,1080000,22978.72340425532,False,False,15,studio,luxury,136,True
Superbe studio au Quartier du Parc,830000,"Appartements dans Mohammedia, Quartier du Parc",65,1,1,https://www.avito.ma/fr/quartier_du_parc/appartements/Superbe_studio_au_Quartier_du_Parc_57191208.htm,"Mohammedia, Quartier du Parc",mohammedia,quartier du parc,830000,12769.23076923077,False,True,5,studio,very_high,10,False
Appartement à vendre sur Hay Riad,4300000,"Appartements dans Rabat, Hay Riad",210,3,3,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_vendre_sur_Hay_Riad_57760408.htm,"Rabat, Hay Riad",rabat,hay riad,3280000,20476.190476190477,False,False,15,appartement,luxury,10,True
Studio à vendre 52 m² à Californie,1100000,"Appartements dans Casablanca, Californie",58,1,1,https://www.avito.ma/fr/californie/appartements/Studio_%C3%A0_vendre_52_m%C2%B2_%C3%A0_Californie_56564882.htm,"Casablanca, Californie",casablanca,californie,1100000,18965.51724137931,False,False,15,studio,luxury,136,True
Appartement 117m² à Les Princesses,1430000,"Appartements dans Casablanca, Les Princesses",117,2,2,https://www.avito.ma/fr/les_princesses/appartements/Appartement_117m%C2%B2_%C3%A0_Les_Princesses_57770344.htm,"Casablanca, Les Princesses",casablanca,les princesses,1430000,12222.222222222223,False,False,15,appartement,luxury,136,True
Rare Opportunité 478 m² en Vente au Cœur de Tanger,7400000,"Appartements dans Tanger, Mozart",478,5,4,https://www.avito.ma/fr/mozart/appartements/Rare_Opportunit%C3%A9_478_m%C2%B2_en_Vente_au_C_ur_de_Tanger_56965712.htm,"Tanger, Mozart",tangier,mozart,3280000,15481.171548117154,False,False,15,appartement,luxury,38,False
Appartement À Vendre Aux derniers etages Vue Mer,2925000,"Appartements dans Mohammedia, Centre Ville",117,2,2,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%80_Vendre_Aux_derniers_etages_Vue_Mer_57834631.htm,"Mohammedia, Centre Ville",mohammedia,centre ville,2925000,25000.0,False,True,5,appartement,luxury,10,False
Appartement meublé piscine Haut standing,1200000,"Appartements dans Marrakech, Mabrouka",70,2,2,https://www.avito.ma/fr/mabrouka/appartements/Appartement_meubl%C3%A9_piscine_Haut_standing_57415945.htm,"Marrakech, Mabrouka",marrakech,mabrouka,1200000,17142.85714285714,False,True,5,appartement,luxury,58,True
